time_s,roll_deg,pitch_deg,yaw_deg,temp_c,bias_roll,bias_pitch,accel_norm_g,K_roll_angle,K_roll_bias,K_pitch_angle,K_pitch_bias,P_roll_00,P_roll_11,P_pitch_00,P_pitch_11,gyro_pitch_dps,pitch_centered_deg,R_dynamic,gyro_pitch_filt,phase_var
6.2055,-5.2835,15.4484,169.5383,30.5,-5.177625,1.595112,0.8348,0.004475,-0.000849,0.004475,-0.000849,0.097807,0.00491,0.097808,0.00491,54.3303,19.0354,21.855,67.4508,0.3909
6.2156,-5.3645,15.9654,169.8943,30.5,-5.178511,1.604223,0.8039,0.004474,-0.000847,0.004474,-0.000847,0.09778,0.004895,0.097781,0.004895,51.3958,19.5524,21.855,67.1642,0.3933
6.2256,-5.4335,16.4414,170.271,30.49,-5.179113,1.611252,0.78,0.004473,-0.000846,0.004473,-0.000846,0.097752,0.00488,0.097753,0.00488,47.3264,20.0284,21.855,66.6062,0.3958
6.2357,-5.4896,16.8694,170.6593,30.49,-5.180308,1.6171,0.7541,0.004471,-0.000844,0.004472,-0.000844,0.097724,0.004864,0.097725,0.004864,42.5611,20.4564,21.855,65.7446,0.3984
6.2457,-5.5305,17.2515,171.0712,30.49,-5.182499,1.621973,0.7292,0.00447,-0.000843,0.00447,-0.000843,0.097695,0.004849,0.097696,0.004849,37.9908,20.8385,21.855,64.609,0.4012
6.2558,-5.5624,17.5932,171.5189,30.49,-5.185633,1.625738,0.6958,0.004469,-0.000841,0.004469,-0.000841,0.097666,0.004834,0.097667,0.004834,33.9794,21.1802,21.855,63.2521,0.404
6.2659,-5.5881,17.887,172.0016,30.48,-5.189154,1.628874,0.6917,0.004467,-0.00084,0.004468,-0.00084,0.097637,0.004819,0.097638,0.004819,29.2163,21.474,21.855,61.6355,0.4069
6.2759,-5.6197,18.1465,172.5186,30.48,-5.191885,1.631168,0.7007,0.004466,-0.000838,0.004466,-0.000838,0.097607,0.004804,0.097608,0.004804,25.7968,21.7335,21.855,59.8642,0.4099
6.286,-5.6642,18.39,173.0684,30.49,-5.192792,1.631956,0.718,0.004465,-0.000837,0.004465,-0.000837,0.097577,0.004789,0.097577,0.004789,24.2129,21.977,21.855,58.0709,0.4129
6.296,-5.7172,18.6273,173.65,30.49,-5.191784,1.630569,0.7406,0.004463,-0.000835,0.004463,-0.000835,0.097547,0.004774,0.097548,0.004774,23.6023,22.2143,21.855,56.323,0.4157
6.3061,-5.7778,18.8559,174.2563,30.48,-5.19053,1.626213,0.7579,0.004462,-0.000834,0.004462,-0.000834,0.097515,0.004759,0.097516,0.004759,22.7309,22.4429,21.855,54.6009,0.4186
6.3162,-5.8582,19.0502,174.8843,30.47,-5.189102,1.619111,0.7784,0.00446,-0.000832,0.004461,-0.000832,0.097484,0.004744,0.097484,0.004744,19.3134,22.6372,21.855,52.7319,0.4215
6.3262,-5.9464,19.1814,175.5176,30.49,-5.189491,1.610782,0.8073,0.004459,-0.00083,0.004459,-0.000831,0.097452,0.00473,0.097453,0.00473,13.0413,22.7684,21.855,50.5317,0.4247
6.3363,-6.0063,19.261,176.1183,30.5,-5.194208,1.601273,0.8472,0.004458,-0.000829,0.004458,-0.000829,0.09742,0.004715,0.097421,0.004715,7.9187,22.848,21.855,48.096,0.428
6.3463,-6.0044,19.3071,176.6539,30.49,-5.204261,1.590614,0.9061,0.004456,-0.000827,0.004456,-0.000827,0.097387,0.0047,0.097388,0.0047,4.58,22.8941,21.855,45.5585,0.4315
6.3564,-5.94,19.3235,177.117,30.48,-5.217315,1.578976,0.9681,0.004455,-0.000826,0.004455,-0.000826,0.097354,0.004686,0.097354,0.004686,1.6296,22.9105,21.855,42.9514,0.435
6.3664,-5.8395,19.3347,177.5612,30.49,-5.229955,1.565733,1.0247,0.004453,-0.000824,0.004453,-0.000824,0.097321,0.004671,0.097322,0.004671,1.1173,22.9217,21.855,40.4436,0.4385
6.3765,-5.7305,19.3656,178.0386,30.49,-5.240152,1.551108,1.0842,0.004451,-0.000823,0.004451,-0.000823,0.097287,0.004657,0.097287,0.004657,3.0751,22.9526,21.855,38.1973,0.4416
6.3865,-5.6295,19.4308,178.5752,30.49,-5.24782,1.536504,1.1498,0.00445,-0.000821,0.00445,-0.000821,0.097253,0.004642,0.097254,0.004642,6.4825,23.0178,21.855,36.2969,0.4445
6.3966,-5.5417,19.5397,179.1926,30.5,-5.252896,1.521871,1.2011,0.004448,-0.00082,0.004448,-0.00082,0.097218,0.004628,0.097219,0.004628,10.8293,23.1267,21.855,34.7878,0.4468
6.4067,-5.4583,19.6711,179.8906,30.49,-5.257613,1.506562,1.2339,0.004447,-0.000818,0.004447,-0.000818,0.097183,0.004613,0.097184,0.004614,13.0674,23.2581,21.855,33.5074,0.4489
6.4167,-5.371,19.8158,-179.381,30.49,-5.264725,1.490749,1.2917,0.004445,-0.000817,0.004445,-0.000817,0.097148,0.004599,0.097149,0.004599,14.3762,23.4028,21.855,32.3809,0.4508
6.4268,-5.271,19.9944,-178.7063,30.5,-5.276549,1.474932,1.318,0.004444,-0.000815,0.004444,-0.000815,0.097113,0.004585,0.097113,0.004585,17.7618,23.5814,21.855,31.5408,0.4524
6.4368,-5.1425,20.2025,-178.1778,30.5,-5.295292,1.460306,1.2591,0.004442,-0.000814,0.004442,-0.000814,0.097077,0.004571,0.097078,0.004571,20.6943,23.7895,21.855,30.9412,0.4536
6.4469,-4.9876,20.4351,-177.8272,30.49,-5.318493,1.448415,1.1618,0.00444,-0.000812,0.00444,-0.000812,0.097041,0.004557,0.097041,0.004557,23.1241,24.0221,21.855,30.5358,0.4546
6.457,-4.8236,20.7017,-177.6177,30.49,-5.341741,1.438771,1.0289,0.004439,-0.000811,0.004439,-0.000811,0.097004,0.004543,0.097004,0.004543,26.5086,24.2887,21.855,30.3786,0.4553
6.467,-4.6973,20.9857,-177.5151,30.49,-5.360773,1.429317,0.8788,0.004437,-0.000809,0.004437,-0.000809,0.096967,0.004529,0.096968,0.004529,28.243,24.5727,21.855,30.3453,0.4558
6.4771,-4.6647,21.2411,-177.4643,30.48,-5.371374,1.420757,0.7414,0.004435,-0.000808,0.004435,-0.000808,0.096931,0.004515,0.096932,0.004515,25.4005,24.8281,21.855,30.1201,0.4566
6.4871,-4.7636,21.4192,-177.4087,30.49,-5.370503,1.414874,0.6728,0.004433,-0.000806,0.004433,-0.000806,0.096893,0.004501,0.096893,0.004501,17.705,25.0062,21.855,29.3858,0.4579
6.4972,-4.9712,21.5147,-177.3068,30.5,-5.360623,1.411826,0.687,0.004432,-0.000805,0.004432,-0.000805,0.096854,0.004487,0.096855,0.004487,9.4968,25.1017,21.855,28.1351,0.4597
6.5072,-5.2287,21.547,-177.1176,30.49,-5.348339,1.410202,0.7438,0.00443,-0.000803,0.00443,-0.000803,0.096816,0.004473,0.096816,0.004473,3.2166,25.134,21.855,26.5259,0.462
6.5173,-5.4756,21.5208,-176.8111,30.5,-5.340105,1.408673,0.8027,0.004428,-0.000802,0.004428,-0.000802,0.096778,0.00446,0.096779,0.00446,-2.6089,25.1078,21.855,24.6083,0.4646
6.5274,-5.6669,21.4439,-176.374,30.49,-5.340073,1.407558,0.8425,0.004426,-0.0008,0.004426,-0.0008,0.096739,0.004446,0.096739,0.004446,-7.6434,25.0309,21.855,22.4526,0.4675
6.5374,-5.795,21.3421,-175.8239,30.49,-5.347529,1.406355,0.8698,0.004425,-0.000799,0.004425,-0.000799,0.0967,0.004432,0.0967,0.004432,-10.1266,24.9291,21.855,20.2442,0.4705
6.5475,-5.877,21.2309,-175.2052,30.49,-5.359331,1.403968,0.8682,0.004423,-0.000797,0.004423,-0.000797,0.09666,0.004419,0.096661,0.004419,-11.0611,24.8179,21.855,18.0908,0.4735
6.5575,-5.954,21.1008,-174.5689,30.49,-5.371912,1.399767,0.8353,0.004421,-0.000796,0.004421,-0.000796,0.09662,0.004405,0.096621,0.004405,-12.9329,24.6878,21.855,15.9268,0.4765
6.5676,-6.0745,20.9261,-173.9758,30.51,-5.383411,1.393226,0.8094,0.004419,-0.000794,0.004419,-0.000794,0.09658,0.004392,0.096581,0.004392,-17.3702,24.5131,21.855,13.5799,0.4798
6.5776,-6.263,20.6851,-173.4693,30.51,-5.394006,1.385103,0.8113,0.004417,-0.000793,0.004417,-0.000793,0.09654,0.004378,0.09654,0.004378,-23.959,24.2721,21.855,10.9152,0.4835
6.5877,-6.5314,20.3578,-173.0775,30.5,-5.404038,1.378388,0.8176,0.004415,-0.000791,0.004415,-0.000791,0.096499,0.004365,0.0965,0.004365,-32.5493,23.9448,21.855,7.8149,0.488
6.5978,-6.8686,19.916,-172.8015,30.5,-5.413826,1.379748,0.8844,0.004414,-0.00079,0.004414,-0.00079,0.096458,0.004352,0.096459,0.004352,-43.9277,23.503,21.855,4.1148,0.4936
6.6078,-7.2355,19.3982,-172.6346,30.49,-5.428703,1.383971,1.1271,0.004412,-0.000788,0.004412,-0.000788,0.096417,0.004338,0.096417,0.004339,-51.4903,22.9852,21.855,0.1049,0.4998
6.6179,-7.6277,18.872,-172.6092,30.5,-5.446581,1.384163,1.5407,0.00441,-0.000787,0.00441,-0.000787,0.096375,0.004325,0.096376,0.004325,-52.3044,22.459,21.855,-3.7417,0.5061
6.6279,-8.0235,18.4738,-172.6432,30.48,-5.461967,1.379588,2.0429,0.004408,-0.000785,0.004408,-0.000785,0.096333,0.004312,0.096334,0.004312,-39.6053,22.0608,21.855,-6.5207,0.5108
6.638,-8.3369,18.3425,-172.5371,30.47,-5.476808,1.371402,2.3199,0.004406,-0.000784,0.004406,-0.000784,0.096291,0.004299,0.096292,0.004299,-13.0525,21.9295,21.855,-7.3534,0.5123
6.648,-8.4994,18.4521,-172.1494,30.48,-5.492896,1.361939,2.3727,0.004404,-0.000782,0.004404,-0.000782,0.096249,0.004286,0.096249,0.004286,10.8985,22.0391,21.855,-6.5187,0.5128
6.6581,-8.5242,18.638,-171.5754,30.48,-5.510486,1.352413,2.1432,0.004402,-0.000781,0.004402,-0.000781,0.096206,0.004273,0.096206,0.004273,18.4873,22.225,21.855,-5.2103,0.5133
6.6682,-8.4624,18.8115,-171.1435,30.48,-5.52794,1.345148,1.6779,0.0044,-0.000779,0.0044,-0.000779,0.096163,0.00426,0.096164,0.00426,17.2534,22.3985,21.855,-4.0495,0.5138
6.6782,-8.393,18.8896,-171.0509,30.49,-5.544408,1.343109,1.2207,0.004398,-0.000778,0.004398,-0.000778,0.09612,0.004247,0.09612,0.004247,7.7671,22.4766,21.855,-3.5857,0.5143
6.6883,-8.3453,18.8029,-171.2121,30.5,-5.557595,1.350325,0.9585,0.004396,-0.000776,0.004396,-0.000776,0.096076,0.004234,0.096077,0.004234,-8.6191,22.3899,21.855,-4.2479,0.5148
6.6983,-8.328,18.56,-171.427,30.49,-5.565273,1.367368,0.8308,0.004394,-0.000775,0.004394,-0.000775,0.096032,0.004221,0.096033,0.004222,-24.1557,22.147,21.855,-5.9186,0.5153
6.7084,-8.3654,18.1887,-171.5829,30.49,-5.566391,1.392947,0.7505,0.004392,-0.000773,0.004392,-0.000773,0.095988,0.004209,0.095989,0.004209,-36.9239,21.7757,21.855,-8.3571,0.5158
6.7184,-8.4594,17.7252,-171.7394,30.49,-5.561521,1.422143,0.7122,0.00439,-0.000772,0.00439,-0.000772,0.095944,0.004196,0.095945,0.004196,-46.0789,21.3122,21.855,-11.2781,0.5193
6.7285,-8.5773,17.2152,-172.0172,30.49,-5.556117,1.448913,0.6975,0.004388,-0.00077,0.004388,-0.00077,0.095899,0.004183,0.0959,0.004183,-50.7123,20.8022,21.855,-14.3501,0.5251
6.7386,-8.6867,16.6853,-172.4222,30.49,-5.55493,1.467955,0.7708,0.004386,-0.000769,0.004386,-0.000769,0.095855,0.004171,0.095856,0.004171,-52.6811,20.2723,21.855,-17.3847,0.5311
6.7486,-8.7695,16.1384,-172.8989,30.48,-5.5573,1.479093,0.9297,0.004384,-0.000767,0.004384,-0.000767,0.095811,0.004158,0.095813,0.004158,-54.331,19.7254,21.855,-20.3617,0.5372
6.7587,-8.8138,15.5866,-173.4188,30.48,-5.560774,1.485357,1.0768,0.004382,-0.000766,0.004382,-0.000766,0.095765,0.004146,0.095765,0.004146,-54.8594,19.1736,21.855,-23.208,0.5434
6.7687,-8.8079,15.0178,-173.9692,30.48,-5.5642,1.490186,1.1228,0.00438,-0.000765,0.00438,-0.000765,0.09572,0.004133,0.095721,0.004133,-56.5396,18.6048,21.855,-26.0077,0.5497
6.7788,-8.7603,14.4628,-174.5253,30.49,-5.566731,1.49409,1.1076,0.004378,-0.000763,0.004378,-0.000763,0.095674,0.004121,0.095675,0.004121,-55.1783,18.0498,21.855,-28.5577,0.5557
6.7889,-8.6882,13.9413,-175.0517,30.48,-5.568006,1.496256,1.0791,0.004376,-0.000762,0.004376,-0.000762,0.095628,0.004109,0.095628,0.004109,-51.8614,17.5283,21.855,-30.7387,0.5612
6.7989,-8.6317,13.4553,-175.5118,30.48,-5.567595,1.496269,1.0589,0.004373,-0.00076,0.004373,-0.00076,0.095582,0.004096,0.095583,0.004096,-48.3155,17.0423,21.855,-32.5545,0.5661
6.809,-8.6172,12.967,-175.8998,30.49,-5.564415,1.497051,1.0348,0.004371,-0.000759,0.004371,-0.000759,0.095535,0.004084,0.095536,0.004084,-48.5554,16.554,21.855,-34.2801,0.571
6.819,-8.6451,12.4326,-176.2402,30.48,-5.558206,1.500604,1.0016,0.004369,-0.000757,0.004369,-0.000757,0.095489,0.004072,0.095489,0.004072,-53.1145,16.0196,21.855,-36.2114,0.5765
6.8291,-8.7093,11.8403,-176.5405,30.49,-5.54827,1.507333,0.9932,0.004367,-0.000756,0.004367,-0.000756,0.095442,0.00406,0.095442,0.00406,-58.9003,15.4273,21.855,-38.4202,0.583
6.8391,-8.8131,11.1822,-176.7577,30.5,-5.534714,1.516867,1.0271,0.004365,-0.000754,0.004365,-0.000754,0.095395,0.004048,0.095395,0.004048,-65.4366,14.7692,21.855,-40.9419,0.5906
6.8492,-8.9522,10.4816,-176.851,30.49,-5.519522,1.527979,1.075,0.004363,-0.000753,0.004363,-0.000753,0.095347,0.004035,0.095348,0.004036,-69.655,14.0686,21.855,-43.6032,0.5988
6.8593,-9.1166,9.7495,-176.7925,30.48,-5.504445,1.540085,1.101,0.004361,-0.000752,0.004361,-0.000752,0.0953,0.004023,0.095301,0.004024,-72.8045,13.3365,21.855,-46.3239,0.6075
6.8693,-9.2827,9.0045,-176.581,30.49,-5.491424,1.552874,1.0939,0.004358,-0.00075,0.004358,-0.00075,0.095252,0.004011,0.095253,0.004012,-74.0833,12.5915,21.855,-48.9742,0.6164
6.8794,-9.415,8.2665,-176.2335,30.48,-5.482526,1.565893,1.0756,0.004356,-0.000749,0.004356,-0.000749,0.095204,0.004,0.095204,0.004,-73.3731,11.8535,21.855,-51.4232,0.6251
6.8894,-9.4883,7.5447,-175.7751,30.48,-5.479114,1.578632,1.0527,0.004354,-0.000747,0.004354,-0.000747,0.095156,0.003988,0.095157,0.003988,-71.7738,11.1317,21.855,-53.6213,0.6334
6.8995,-9.4925,6.8418,-175.244,30.47,-5.48193,1.591029,1.0345,0.004352,-0.000746,0.004352,-0.000746,0.095107,0.003976,0.095108,0.003976,-69.8928,10.4288,21.855,-55.5624,0.6413
6.9095,-9.4316,6.1427,-174.6925,30.49,-5.49075,1.602761,1.0288,0.00435,-0.000744,0.00435,-0.000744,0.095059,0.003964,0.095059,0.003964,-69.5121,9.7297,21.855,-57.3614,0.6491
6.9196,-9.3069,5.4436,-174.1772,30.49,-5.505968,1.613408,1.0274,0.004347,-0.000743,0.004347,-0.000743,0.09501,0.003952,0.095011,0.003952,-69.5078,9.0306,21.855,-59.0511,0.6569
6.9297,-9.1333,4.736,-173.7904,30.5,-5.52588,1.622605,1.0221,0.004345,-0.000742,0.004345,-0.000742,0.094961,0.003941,0.094961,0.003941,-70.349,8.323,21.855,-60.6941,0.6647
6.9397,-8.9369,4.0104,-173.5944,30.48,-5.548393,1.629944,1.0111,0.004343,-0.00074,0.004343,-0.00074,0.094912,0.003929,0.094913,0.003929,-72.1567,7.5974,21.855,-62.358,0.6727
6.9498,-8.7549,3.2658,-173.641,30.48,-5.570814,1.635157,0.9967,0.004341,-0.000739,0.004341,-0.000739,0.094862,0.003917,0.094863,0.003917,-74.0356,6.8528,21.855,-64.0465,0.6809
6.9598,-8.6172,2.504,-173.9539,30.47,-5.591138,1.638459,0.9863,0.004338,-0.000737,0.004338,-0.000737,0.094813,0.003906,0.094813,0.003906,-75.7471,6.091,21.855,-65.7467,0.6892
6.9699,-8.5288,1.736,-174.5223,30.49,-5.608574,1.640502,0.9687,0.004336,-0.000736,0.004336,-0.000736,0.094763,0.003894,0.094764,0.003894,-76.373,5.323,21.855,-67.3845,0.6975
6.9799,-8.494,0.9824,-175.3119,30.48,-5.621911,1.641893,0.9576,0.004334,-0.000735,0.004334,-0.000735,0.094713,0.003883,0.094713,0.003883,-74.9325,4.5694,21.855,-68.8236,0.7054
6.99,-8.5078,0.2504,-176.2727,30.48,-5.630391,1.64282,0.9457,0.004331,-0.000733,0.004331,-0.000733,0.094663,0.003871,0.094664,0.003872,-72.7731,3.8374,21.855,-70.0261,0.7129
7.0001,-8.5562,-0.4573,-177.3308,30.47,-5.633854,1.643217,0.9298,0.004329,-0.000732,0.004329,-0.000732,0.094613,0.00386,0.094614,0.00386,-70.3664,3.1297,21.855,-70.9877,0.72
7.0101,-8.6216,-1.1464,-178.3955,30.49,-5.632708,1.643337,0.9426,0.004327,-0.00073,0.004327,-0.00073,0.094562,0.003849,0.094563,0.003849,-68.5283,2.4406,21.855,-71.7596,0.7267
7.0202,-8.684,-1.8138,-179.3919,30.49,-5.628313,1.642417,0.9661,0.004324,-0.000729,0.004325,-0.000729,0.094512,0.003838,0.094512,0.003838,-66.3355,1.7732,21.855,-72.3282,0.7332
7.0302,-8.7231,-2.4501,179.7182,30.49,-5.622764,1.640318,0.9924,0.004322,-0.000728,0.004322,-0.000728,0.094461,0.003826,0.094461,0.003826,-63.2773,1.1369,21.855,-72.6458,0.7392
7.0403,-8.7322,-3.0487,178.9492,30.49,-5.616946,1.637805,1.0217,0.00432,-0.000726,0.00432,-0.000726,0.09441,0.003815,0.094411,0.003815,-59.5246,0.5383,21.855,-72.679,0.7449
7.0503,-8.7166,-3.6203,178.2844,30.48,-5.611987,1.634877,1.0296,0.004317,-0.000725,0.004318,-0.000725,0.094359,0.003804,0.094359,0.003804,-56.8339,-0.0333,21.855,-72.5151,0.7503
7.0604,-8.6788,-4.1876,177.6774,30.48,-5.609103,1.632158,1.024,0.004315,-0.000723,0.004315,-0.000723,0.094307,0.003793,0.094308,0.003793,-56.4075,-0.6006,21.855,-72.3174,0.7557
7.0705,-8.6238,-4.7647,177.0949,30.49,-5.609364,1.630375,1.0069,0.004313,-0.000722,0.004313,-0.000722,0.094256,0.003782,0.094256,0.003782,-57.3922,-1.1777,21.855,-72.1833,0.7612
7.0805,-8.5587,-5.3576,176.5298,30.49,-5.612111,1.629771,0.9785,0.00431,-0.000721,0.00431,-0.000721,0.094204,0.003771,0.094205,0.003771,-58.9488,-1.7706,21.855,-72.1484,0.7669
7.0906,-8.4901,-5.9679,175.9941,30.48,-5.61583,1.630272,0.9592,0.004308,-0.000719,0.004308,-0.000719,0.094153,0.00376,0.094153,0.00376,-60.6886,-2.3809,21.855,-72.2198,0.7726
7.1006,-8.4158,-6.5825,175.4596,30.49,-5.620865,1.631403,0.9427,0.004306,-0.000718,0.004306,-0.000718,0.0941,0.003749,0.094101,0.003749,-61.114,-2.9955,21.855,-72.3033,0.7783
7.1107,-8.3418,-7.2024,174.8708,30.49,-5.627728,1.632284,0.9379,0.004303,-0.000717,0.004303,-0.000717,0.094048,0.003738,0.094049,0.003738,-61.6391,-3.6154,21.855,-72.4053,0.7839
7.1207,-8.2674,-7.821,174.1953,30.49,-5.635961,1.631755,0.9556,0.004301,-0.000715,0.004301,-0.000715,0.093996,0.003727,0.093997,0.003727,-61.5003,-4.234,21.855,-72.4801,0.7895
7.1308,-8.1839,-8.4278,173.4512,30.49,-5.644125,1.629601,0.9791,0.004298,-0.000714,0.004299,-0.000714,0.093944,0.003716,0.093944,0.003716,-60.3347,-4.8408,21.855,-72.4599,0.7948
7.1409,-8.0942,-9.0257,172.6788,30.49,-5.65099,1.626692,0.9896,0.004296,-0.000712,0.004296,-0.000712,0.093892,0.003706,0.093893,0.003706,-59.4341,-5.4387,21.855,-72.368,0.8001
7.1509,-8.0043,-9.6117,171.9045,30.49,-5.656038,1.623373,0.9945,0.004294,-0.000711,0.004294,-0.000711,0.093839,0.003695,0.093839,0.003695,-58.2712,-6.0247,21.855,-72.1906,0.8052
7.161,-7.9195,-10.193,171.1416,30.49,-5.659279,1.620006,0.9953,0.004291,-0.00071,0.004291,-0.00071,0.093786,0.003684,0.093786,0.003684,-57.7951,-6.606,21.855,-71.9789,0.8102
7.171,-7.8404,-10.7746,170.4003,30.49,-5.661076,1.616367,0.9914,0.004289,-0.000708,0.004289,-0.000708,0.093733,0.003674,0.093733,0.003674,-57.8371,-7.1876,21.855,-71.7699,0.8152
7.1811,-7.7638,-11.3608,169.6882,30.48,-5.662248,1.612282,0.9801,0.004286,-0.000707,0.004286,-0.000707,0.093679,0.003663,0.09368,0.003663,-58.2897,-7.7738,21.855,-71.5913,0.82
7.1911,-7.6876,-11.9617,169.012,30.49,-5.663469,1.608096,0.9733,0.004284,-0.000706,0.004284,-0.000706,0.093626,0.003652,0.093627,0.003653,-59.7427,-8.3747,21.855,-71.5094,0.8247
7.2012,-7.6076,-12.5825,168.3825,30.49,-5.665313,1.604116,0.9651,0.004282,-0.000704,0.004282,-0.000704,0.093573,0.003642,0.093574,0.003642,-61.7286,-8.9955,21.855,-71.5551,0.8294
7.2113,-7.5131,-13.2134,167.8205,30.48,-5.667865,1.600471,0.9676,0.004279,-0.000703,0.004279,-0.000703,0.093519,0.003631,0.09352,0.003632,-62.7288,-9.6264,21.855,-71.6552,0.8339
7.2213,-7.3981,-13.8453,167.3403,30.49,-5.670921,1.596959,0.9692,0.004277,-0.000702,0.004277,-0.000702,0.093466,0.003621,0.093466,0.003621,-62.8323,-10.2583,21.855,-71.7464,0.8383
7.2314,-7.2638,-14.4612,166.9452,30.48,-5.67424,1.592149,0.9751,0.004274,-0.0007,0.004274,-0.0007,0.093412,0.003611,0.093412,0.003611,-61.2485,-10.8742,21.855,-71.7155,0.8425
7.2414,-7.1227,-15.044,166.6288,30.49,-5.677064,1.584869,0.983,0.004272,-0.000699,0.004272,-0.000699,0.093358,0.0036,0.093359,0.0036,-57.9457,-11.457,21.855,-71.4531,0.8466
7.2515,-6.9863,-15.576,166.3919,30.49,-5.679924,1.575382,0.9935,0.004269,-0.000698,0.004269,-0.000698,0.093304,0.00359,0.093304,0.00359,-52.9082,-11.989,21.855,-70.8545,0.8507
7.2615,-6.8545,-16.0709,166.2136,30.49,-5.683164,1.564928,1.0112,0.004267,-0.000696,0.004267,-0.000696,0.09325,0.00358,0.09325,0.00358,-49.2077,-12.4839,21.855,-70.0283,0.8547
7.2716,-6.7288,-16.5456,166.0755,30.49,-5.686815,1.555129,1.0196,0.004264,-0.000695,0.004264,-0.000695,0.093195,0.00357,0.093196,0.00357,-47.1996,-12.9586,21.855,-69.1011,0.8586
7.2817,-6.6109,-17.0175,165.9537,30.48,-5.690417,1.547031,1.0151,0.004262,-0.000694,0.004262,-0.000694,0.093141,0.003559,0.093141,0.003559,-46.9288,-13.4305,21.855,-68.196,0.8624
7.2917,-6.502,-17.4998,165.8197,30.49,-5.693673,1.540777,0.9979,0.004259,-0.000692,0.004259,-0.000692,0.093087,0.003549,0.093087,0.003549,-47.9563,-13.9128,21.855,-67.3996,0.8661
7.3018,-6.4016,-17.9913,165.6578,30.5,-5.696744,1.535946,0.9753,0.004257,-0.000691,0.004257,-0.000691,0.093032,0.003539,0.093032,0.003539,-48.875,-14.4043,21.855,-66.6993,0.8697
7.3118,-6.3044,-18.4897,165.4603,30.5,-5.700293,1.531969,0.9544,0.004254,-0.00069,0.004254,-0.00069,0.092977,0.003529,0.092978,0.003529,-49.551,-14.9027,21.855,-66.0737,0.8732
7.3219,-6.2013,-18.9937,165.2503,30.49,-5.70443,1.528243,0.9472,0.004252,-0.000688,0.004252,-0.000688,0.092922,0.003519,0.092923,0.003519,-50.108,-15.4067,21.855,-65.5111,0.8765
7.3319,-6.0852,-19.5009,165.0574,30.49,-5.708981,1.523796,0.9479,0.004874,-0.000788,0.004874,-0.000788,0.092809,0.003508,0.092809,0.003508,-50.4328,-15.9139,19.0412,-64.9927,0.8797
7.342,-5.9569,-20.016,164.8844,30.49,-5.71335,1.517945,0.9584,0.006056,-0.000978,0.006056,-0.000978,0.092586,0.003493,0.092587,0.003493,-51.2186,-16.429,15.2891,-64.5476,0.8828
7.3521,-5.817,-20.5219,164.7153,30.51,-5.718459,1.508442,0.9738,0.009395,-0.001515,0.009395,-0.001515,0.092052,0.003471,0.092052,0.003471,-50.3032,-16.9349,9.7979,-64.0572,0.8858
7.3621,-5.6578,-20.992,164.5554,30.52,-5.726656,1.491334,0.9863,0.017047,-0.002745,0.017047,-0.002745,0.090815,0.003431,0.090816,0.003431,-46.7239,-17.405,5.3273,-63.3442,0.8888
7.3722,-5.4328,-21.3685,164.3921,30.51,-5.745774,1.45985,0.9934,0.03144,-0.005057,0.03144,-0.005057,0.088282,0.003357,0.088282,0.003357,-37.4398,-17.7815,2.8079,-62.0357,0.8921
7.3822,-5.1494,-21.6808,164.2024,30.5,-5.774151,1.419401,0.9946,0.035919,-0.00577,0.035919,-0.00577,0.085423,0.003275,0.085424,0.003275,-31.0504,-18.0938,2.3782,-60.3592,0.8956
7.3923,-4.955,-22.1048,163.9696,30.5,-5.788937,1.39876,0.9859,0.015444,-0.002477,0.015444,-0.002477,0.084414,0.003241,0.084415,0.003241,-42.1623,-18.5178,5.466,-59.5161,0.8984
7.4023,-4.8045,-22.5576,163.6819,30.5,-5.799155,1.384362,0.9769,0.009667,-0.001549,0.009667,-0.001549,0.083906,0.003221,0.083907,0.003221,-45.0165,-18.9706,8.6798,-58.905,0.901
7.4124,-4.659,-22.9738,163.3285,30.51,-5.812654,1.366281,0.9808,0.011407,-0.001825,0.011407,-0.001825,0.083255,0.003196,0.083255,0.003197,-41.3895,-19.3868,7.2988,-58.0761,0.9037
7.4225,-4.2558,-23.0216,162.9237,30.5,-5.871047,1.292182,0.9964,0.046004,-0.007352,0.046004,-0.007352,0.079717,0.003099,0.079718,0.003099,-4.752,-19.4346,1.7328,-54.8129,0.9082
7.4325,-4.151,-23.4001,162.4709,30.5,-5.884518,1.27428,1.0194,0.010741,-0.001714,0.010741,-0.001714,0.079153,0.003077,0.079153,0.003077,-37.6263,-19.8131,7.3693,-53.9383,0.9107
7.4426,-4.0967,-23.8032,161.9665,30.51,-5.891873,1.263021,1.0343,0.006223,-0.000992,0.006223,-0.000992,0.078951,0.003065,0.078952,0.003065,-40.0814,-20.2162,12.6868,-53.2719,0.913
7.4526,-4.0574,-24.1894,161.422,30.49,-5.898028,1.251193,1.0356,0.005991,-0.000954,0.005991,-0.000954,0.078768,0.003053,0.078769,0.003053,-38.4014,-20.6024,13.1487,-52.5237,0.9154
7.4627,-4.0305,-24.554,160.851,30.49,-5.903049,1.237919,1.0346,0.006147,-0.000977,0.006147,-0.000978,0.078573,0.003041,0.078573,0.003041,-36.2573,-20.967,12.782,-51.6668,0.9177
7.4727,-4.0225,-24.8939,160.26,30.5,-5.906663,1.22283,1.0329,0.006427,-0.001021,0.006427,-0.001021,0.078356,0.003029,0.078357,0.003029,-33.7961,-21.3069,12.1913,-50.6859,0.9201
