t,roll_deg,pitch_deg,yaw_deg,sensor_ang_vel_deg_s,derived_ang_vel_deg_s,phase_var
1783945149.8889575,-170.39210170595584,-4.434066245449783,-0.37027611034422286,-1.1748501669633151,,
1783945149.8990304,-170.32262833253867,-4.423957327701741,-0.3828402213403308,-1.220133680830265,1.0028589641732935,0.0036924172027650304
1783945149.9090135,-170.24523234202138,-4.413033953772882,-0.3940444129881153,-1.2668301900817613,1.0934333539368315,0.0037149211359440715
1783945149.9190073,-170.16384148565805,-4.401742556489643,-0.40557747397061067,-1.323319589777469,1.1295178227641736,0.003742652100171995
1783945149.929006,-170.08297481715502,-4.389817645266448,-0.41581694075962017,-1.3798064281522382,1.192577559444263,0.0037796950479622726
1783945149.9390106,-170.00098031295067,-4.3773401339189855,-0.4271315455651639,-1.454543105102458,1.2473657106184586,0.003824494469178319
1783945149.949008,-169.91491323878853,-4.363266767269658,-0.43931361117388557,-1.6341669417117441,1.4075393573870618,0.0038935064436022015
1783945149.9590054,-169.8235918463217,-4.348867079545696,-0.4513131325106085,-1.6797748895642697,1.4402105069478697,0.003965878710111781
1783945149.9690316,-169.7271195647154,-4.333418325595254,-0.46298358643465026,-1.758751406441775,1.5407992221751483,0.004052436390680425
1783945149.9790027,-169.6278752359308,-4.317139555548913,-0.4745175841122656,-1.8127270830795066,1.6326273958166682,0.0041513504932303436
1783945149.9890013,-169.53161197898348,-4.301514838558832,-0.484834247918175,-1.7388685123244563,1.5625849539905245,0.004236402917895954
1783945149.9990003,-169.4407907368515,-4.28672232372568,-0.4928594370551697,-1.59759800217379,1.4794292559194258,0.00430579376352036
1783945150.0089998,-169.35302594754864,-4.273007383222632,-0.49982784829215426,-1.4672543005912633,1.3715607594405643,0.004355924296971514
1783945150.0189993,-169.26516361183525,-4.260432302224395,-0.5067071747434148,-1.360415414376866,1.257539281179518,0.0043863145990918895
1783945150.0289993,-169.17579044352797,-4.2501245650578445,-0.514244614330918,-1.1436333209703007,1.0307746996783662,0.004379083561574015
1783945150.0389986,-169.08914894489786,-4.24108968856476,-0.5221649770978943,-1.030270323438072,0.9035315947270834,0.004351685320959309
1783945150.0489993,-169.00918388113553,-4.233788467208511,-0.5298383501664636,-0.8580046816381524,0.7300880185815678,0.004297194911622393
1783945150.0589993,-168.9380929883099,-4.228091104680804,-0.536782994441301,-0.6807525748573002,0.5697232128412097,0.004218690824428717
1783945150.0690262,-168.87563367460308,-4.223052472677192,-0.5425074127329695,-0.6255477843340838,0.5025337510647684,0.004132342186650151
1783945150.0790002,-168.81699469487697,-4.217756529073303,-0.5482756825549213,-0.6471334232671454,0.5309620519078403,0.0040540808825672014
1783945150.0890002,-168.76188725705418,-4.212499813736041,-0.5536177876818853,-0.6242254490385987,0.5256595023349603,0.003978106247510604
1783945150.0989995,-168.7118806148947,-4.207028703619579,-0.5585135678207314,-0.6293747713425536,0.5471506687152987,0.00390871121939651
1783945150.109,-168.6671912882876,-4.202362621348764,-0.5623499798453502,-0.5398940104909504,0.4665975475111124,0.0038289007954663834
1783945150.119,-168.6287581678327,-4.198796925003351,-0.5656492379856776,-0.38867023385270955,0.3565699745929639,0.003734230854904985
1783945150.1289995,-168.596176639496,-4.197752355464217,-0.5689728038236841,-0.14432333790539748,0.10446203467416927,0.0036020133515886066
1783945150.138999,-168.56589640502824,-4.1986805132015546,-0.5719702454485862,0.050723122545683626,-0.09282028827036301,0.0034428154780885567
1783945150.1489987,-168.53607116493345,-4.201885924985674,-0.5763469822064116,0.24142976484148193,-0.320556769456572,0.0032529295506905642
1783945150.158999,-168.50533859084948,-4.206398320825769,-0.5815949182530094,0.3616477376598912,-0.451218498550335,0.0030496204802268334
1783945150.1690245,-168.4748282941912,-4.212884745020756,-0.5872169593033367,0.5387520882390889,-0.6470078942836268,0.0028231091963719646
1783945150.1789997,-168.44480585612496,-4.220749803289045,-0.5934869879069603,0.6528629914854341,-0.7884427666088947,0.0025834606637338275
1783945150.1889994,-168.4162650839911,-4.228838110405762,-0.6009246564064633,0.6118201713194159,-0.8088314830335824,0.0023507852870077173
1783945150.1989994,-168.3899812986385,-4.236118518207631,-0.6083891336359676,0.5492123628704048,-0.7280761919126403,0.0021409073132379053
1783945150.209,-168.36717126950077,-4.244037060344373,-0.6157415798528528,0.6623836348581972,-0.7917605835392565,0.0019298931845674883
1783945150.2189987,-168.35053394954554,-4.253699914108938,-0.6230250922156795,0.8082151639096982,-0.9664475914758539,0.001700456927715921
1783945150.229,-168.34064620703285,-4.2643193926726815,-0.6289800897088815,0.9161626218429002,-1.061796977706821,0.0014661338468304752
1783945150.2389996,-168.33797359610708,-4.275559984263534,-0.6342302516686139,0.9975099614143405,-1.1241406359532595,0.0012324677157258268
1783945150.2489982,-168.34108261061726,-4.287141310372946,-0.6390212530192229,1.0272396404372903,-1.1582441743010352,0.001003926547661127
1783945150.2589982,-168.35116356610865,-4.298486233949916,-0.643890520680178,0.999728598955831,-1.1344934396342368,0.0007892409137232326
1783945150.269054,-168.36652595238724,-4.309516709557139,-0.6502291521701165,0.9521044646376824,-1.096954854924058,0.0005898608449320664
1783945150.2790012,-168.38494574136692,-4.3178791245404,-0.6568660013107532,0.658149557903024,-0.8406718425279668,0.0004382962873165086
1783945150.2890003,-168.40405113228664,-4.324325682836482,-0.6642954653073196,0.4492753294514525,-0.6447025571648222,0.00032298377837225445
1783945150.2989988,-168.42077402175067,-4.329433770899184,-0.6723765514203796,0.35262137586745496,-0.5108823757956666,0.00023280182495188928
1783945150.3089995,-168.43500663602984,-4.3347427808230075,-0.6790168461705693,0.42547188007012005,-0.5308761845161746,0.00014340755651742754
1783945150.3189988,-168.44610507909437,-4.341825169065819,-0.6847391695883799,0.6187177018857768,-0.7082732728446658,3.114304722429129e-05
1783945150.329,-168.45535704319278,-4.351031867876385,-0.689502120473195,0.8520511579202813,-0.92058296535988,0.9998919575248428
1783945150.3390024,-168.46221225195666,-4.362215860404147,-0.694867665566253,1.0216175409767236,-1.1181870419099156,0.9997295028619634
1783945150.3489997,-168.4695709992415,-4.3750845551993365,-0.6996128667412249,1.1922912684523543,-1.287116204941992,0.9995493747278353
1783945150.3589997,-168.47861736668767,-4.3900264239609355,-0.7037228607812059,1.4092491325083416,-1.4942239262374142,0.9993470711907134
1783945150.369025,-168.4904990377384,-4.407151935010089,-0.7072455437692601,1.6325493608172148,-1.7081949939478662,0.9991230492820987
1783945150.3790154,-168.50773427695117,-4.425806989154652,-0.7101497202589709,1.7670761263795511,-1.8675553910484928,0.9988867057414258
